verb,uri,controller,method
POST,login,"App\Http\Controllers\LoginController",postIndex
PUT,login/crear-prematricula,"App\Http\Controllers\LoginController",putCrearPrematricula
POST,login/credentials,"App\Http\Controllers\LoginController",postCredentials
PUT,login/logout,"App\Http\Controllers\LoginController",putLogout
PUT,login/reset-password,"App\Http\Controllers\LoginController",putResetPassword
POST,login/ver-pass,"App\Http\Controllers\LoginController",postVerPass
GET,alumnos,"App\Http\Controllers\AlumnosController",getIndex
PUT,alumnos/cambiar-claves,"App\Http\Controllers\AlumnosController",putCambiarClaves
PUT,alumnos/documento-check,"App\Http\Controllers\AlumnosController",putDocumentoCheck
PUT,alumnos/eps-check,"App\Http\Controllers\AlumnosController",putEpsCheck
PUT,alumnos/guardar-valor,"App\Http\Controllers\AlumnosController",putGuardarValor
PUT,alumnos/guardar-valor-varios,"App\Http\Controllers\AlumnosController",putGuardarValorVarios
PUT,alumnos/personas-check,"App\Http\Controllers\AlumnosController",putPersonasCheck
PUT,alumnos/show,"App\Http\Controllers\AlumnosController",putShow
GET,alumnos/sin-matriculas,"App\Http\Controllers\AlumnosController",getSinMatriculas
POST,alumnos/store,"App\Http\Controllers\AlumnosController",postStore
GET,alumnos/trashed,"App\Http\Controllers\AlumnosController",getTrashed
PUT,alumnos/years-con-notas,"App\Http\Controllers\AlumnosController",putYearsConNotas
PUT,alumnos/de-grupo/{grupo_id},"App\Http\Controllers\AlumnosController",putDeGrupo
DELETE,alumnos/destroy/{id},"App\Http\Controllers\AlumnosController",deleteDestroy
DELETE,alumnos/forcedelete/{id},"App\Http\Controllers\AlumnosController",deleteForcedelete
PUT,alumnos/restore/{id},"App\Http\Controllers\AlumnosController",putRestore
PUT,alumnos/update/{id},"App\Http\Controllers\AlumnosController",putUpdate
GET,importar,"App\Http\Controllers\Alumnos\ImportarController",getIndex
POST,importar/cartera,"App\Http\Controllers\Alumnos\ImportarController",postCartera
POST,importar/algo/{year},"App\Http\Controllers\Alumnos\ImportarController",postAlgo
GET,importar/modificar/{year},"App\Http\Controllers\Alumnos\ImportarController",getModificar
GET,folios/iniciar,"App\Http\Controllers\Alumnos\FoliosController",getIniciar
PUT,acudientes/buscar,"App\Http\Controllers\AcudientesController",putBuscar
POST,acudientes/crear,"App\Http\Controllers\AcudientesController",postCrear
POST,acudientes/crear-usuario,"App\Http\Controllers\AcudientesController",postCrearUsuario
PUT,acudientes/datos,"App\Http\Controllers\AcudientesController",putDatos
PUT,acudientes/de-persona,"App\Http\Controllers\AcudientesController",putDePersona
PUT,acudientes/guardar-valor,"App\Http\Controllers\AcudientesController",putGuardarValor
PUT,acudientes/mis-acudidos,"App\Http\Controllers\AcudientesController",putMisAcudidos
PUT,acudientes/no-asignados,"App\Http\Controllers\AcudientesController",putNoAsignados
PUT,acudientes/ocupaciones-check,"App\Http\Controllers\AcudientesController",putOcupacionesCheck
PUT,acudientes/planillas-ausencias,"App\Http\Controllers\AcudientesController",putPlanillasAusencias
PUT,acudientes/quitar-parentesco-alumno,"App\Http\Controllers\AcudientesController",putQuitarParentescoAlumno
PUT,acudientes/seleccionar-parentesco,"App\Http\Controllers\AcudientesController",putSeleccionarParentesco
PUT,acudientes/ultimos,"App\Http\Controllers\AcudientesController",putUltimos
DELETE,acudientes/destroy/{id},"App\Http\Controllers\AcudientesController",deleteDestroy
PUT,buscar/por-apellido,"App\Http\Controllers\BuscarController",putPorApellido
PUT,buscar/por-nombre,"App\Http\Controllers\BuscarController",putPorNombre
GET,paises,"App\Http\Controllers\PaisesController",getIndex
POST,paises/store,"App\Http\Controllers\PaisesController",postStore
GET,ciudades,"App\Http\Controllers\CiudadesController",getIndex
PUT,ciudades/actualizar-ciudad,"App\Http\Controllers\CiudadesController",putActualizarCiudad
PUT,ciudades/actualizar-departamento,"App\Http\Controllers\CiudadesController",putActualizarDepartamento
GET,ciudades/by-departamento,"App\Http\Controllers\CiudadesController",getByDepartamento
PUT,ciudades/departamentos-by-id,"App\Http\Controllers\CiudadesController",putDepartamentosById
POST,ciudades/guardar-ciudad,"App\Http\Controllers\CiudadesController",postGuardarCiudad
GET,ciudades/datosciudad/{ciudad_id},"App\Http\Controllers\CiudadesController",getDatosciudad
GET,ciudades/departamentos/{pais_id},"App\Http\Controllers\CiudadesController",getDepartamentos
DELETE,ciudades/destroy/{id},"App\Http\Controllers\CiudadesController",deleteDestroy
GET,ciudades/paisdeciudad/{ciudad_id},"App\Http\Controllers\CiudadesController",getPaisdeciudad
GET,ciudades/por-departamento/{departamento},"App\Http\Controllers\CiudadesController",getPorDepartamento
GET,areas,"App\Http\Controllers\AreasController",getIndex
POST,areas,"App\Http\Controllers\AreasController",postIndex
